범위,설명,f,p-value
클러스터1(외식업),"is_risky, sum_new_customer_cnt",89.22038929,5.63E-21
클러스터1(외식업),"is_risky, sum_purchase_invoice",23.98914145,1.0035E-06
클러스터1(외식업),"is_risky, regular_employees_count",21.22035157,4.2096E-06
클러스터1(외식업),"is_risky, age",21.09823851,4.4851E-06
클러스터1(외식업),"is_risky, sum_customer_cnt",9.07856342,0.002601298
클러스터1(외식업),"is_risky, sum_weekend_sales_delivery",8.07486403,0.004508977
클러스터1(외식업),"is_risky, sum_sales_delivery",8.001765426,0.004694305
클러스터1(외식업),"is_risky, sum_sales_invoice",2.097191034,0.147641212
클러스터1(외식업),"is_risky, is_franchise",1.439946093,0.230212612
클러스터1(외식업),"is_risky, sum_purchase_card",0.749439594,0.386700873
클러스터1(외식업),"is_risky, rental_deposit",0.151244419,0.697367773
클러스터1(외식업),"is_risky, duration",0.101389866,0.750183171
클러스터1(외식업),"is_risky, business_square_size",0.049917444,0.823217352
클러스터1(외식업),"is_risky, sum_purchase_cash",0.041744169,0.838117651
클러스터1(외식업),"is_risky, monthly_rental_fee",0.013903589,0.906141588
,,,
,,,
클러스터2(전체),"is_risky, age",45.78229608,0
클러스터2(전체),"is_risky, regular_employees_count",56.46058903,0
클러스터2(전체),"is_risky, sum_sales_card",223.8110488,3.21E-50
클러스터2(전체),"is_risky, sum_new_customer_cnt",121.2840366,4.33E-28
클러스터2(전체),"is_risky, sum_customer_cnt",81.90080182,1.62E-19
클러스터2(전체),"is_risky, sum_weekend_sales_card",67.53581489,2.25E-16
클러스터2(전체),"is_risky, sum_weekend_sales_delivery",3.98E+01,3.00E-10
클러스터2(전체),"is_risky, sum_sales_delivery",35.86525645,2.20E-09
클러스터2(전체),"is_risky, monthly_rental_fee",31.64956412,1.88E-08
클러스터2(전체),"is_risky, business_square_size",18.37296942,1.82812E-05
클러스터2(전체),"is_risky, duration",5.929585951,0.014900943
클러스터2(전체),"is_risky, sum_purchase_card",3.796928967,0.051366311
클러스터2(전체),"is_risky, sum_purchase_invoice",3.020002135,0.082264997
클러스터2(전체),"is_risky, is_franchise",1.650472336,0.198915574
클러스터2(전체),"is_risky, rental_deposit",0.397463504,0.528412252
클러스터2(전체),"is_risky, sum_purchase_cash",0.14577821,0.702608651
클러스터2(전체),"is_risky, sum_sales_invoice",0.007737689,0.929906422
,,,
,,,
클러스터2(외식업),"is_risky, regular_employees_count",60.57037338,0
클러스터2(외식업),"is_risky, sum_sales_card",372.1147872,2.10E-81
클러스터2(외식업),"is_risky, sum_weekend_sales_card",145.1311452,3.45E-33
클러스터2(외식업),"is_risky, sum_new_customer_cnt",105.4672024,1.29E-24
클러스터2(외식업),"is_risky, monthly_rental_fee",30.29115672,3.81E-08
클러스터2(외식업),"is_risky, age",25.66074404,4.15E-07
클러스터2(외식업),"is_risky, duration",24.16485275,8.99E-07
클러스터2(외식업),"is_risky, sum_purchase_card",23.00756069,1.6375E-06
클러스터2(외식업),"is_risky, sum_weekend_sales_delivery",22.49723661,2.1343E-06
클러스터2(외식업),"is_risky, business_square_size",21.36924781,3.8366E-06
클러스터2(외식업),"is_risky, sum_customer_cnt",18.48205494,1.73211E-05
클러스터2(외식업),"is_risky, sum_sales_delivery",17.11772513,3.54275E-05
클러스터2(외식업),"is_risky, sum_purchase_invoice",12.32899554,0.00044799
클러스터2(외식업),"is_risky, is_franchise",3.579697655,0.058519353
클러스터2(외식업),"is_risky, sum_purchase_cash",1.637349588,0.200719905
클러스터2(외식업),"is_risky, sum_sales_invoice",1.451254074,0.228356028
클러스터2(외식업),"is_risky, rental_deposit",0.321470433,0.570738338
,,,
,,,
클러스터2(서비스업),"is_risky, age",,
클러스터2(서비스업),"is_risky, duration",,
클러스터2(서비스업),"is_risky, is_franchise",,
클러스터2(서비스업),"is_risky, business_square_size",,
클러스터2(서비스업),"is_risky, monthly_rental_fee",,
클러스터2(서비스업),"is_risky, regular_employees_count",,
클러스터2(서비스업),"is_risky, rental_deposit",,
클러스터2(서비스업),"is_risky, sum_customer_cnt",,
클러스터2(서비스업),"is_risky, sum_new_customer_cnt",,
클러스터2(서비스업),"is_risky, sum_purchase_card",,
클러스터2(서비스업),"is_risky, sum_purchase_cash",,
클러스터2(서비스업),"is_risky, sum_purchase_invoice",,
클러스터2(서비스업),"is_risky, sum_sales_card",,
클러스터2(서비스업),"is_risky, sum_sales_delivery",,
클러스터2(서비스업),"is_risky, sum_sales_invoice",,
클러스터2(서비스업),"is_risky, sum_weekend_sales_card",,
클러스터2(서비스업),"is_risky, sum_weekend_sales_delivery",,
,,,
,,,
클러스터2(유통업),"is_risky, sum_sales_invoice",17.19007271,3.63888E-05
클러스터2(유통업),"is_risky, sum_customer_cnt",13.66437366,0.000229979
클러스터2(유통업),"is_risky, sum_new_customer_cnt",12.16636111,0.000506966
클러스터2(유통업),"is_risky, sum_sales_card",8.736321427,0.003185058
