일반_대표자_성별코드,대표자연령대코드,고용근로자수,환산임대료,일반_사업자형태코드,산업중분류코드,일반_창업형태코드,일반_현사업체_직전종사상지위항목코드,창업_비용_총창업비용,창업_비용_본인부담금액,창업_어려움정도_입지선정코드,창업_어려움정도_업종선택코드,창업_어려움정도_자금조달코드,창업_어려움정도_기술확보코드,창업_어려움정도_인력확보코드,창업_어려움정도_행정절차코드,창업_어려움정도_경영방법코드,경영_고객결재방법_현금비율,경영_고객결재방법_카드비율,경영_고객결재방법_간편결제비율,경영_고객결재방법_어음비율,경영_고객결재방법_기타비율,경영_영업이익,경영_전자상거래_매출비율,경영_부채금액
1,30,0,0.0,1,58,1,3,30.0,30.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,90,10,0,0,0,16,0,30
1,30,0,79.0,1,58,1,3,9.0,9.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,100,0,0,0,0,34,0,0
1,30,0,0.0,1,58,1,3,30.0,25.0,1.0,1.0,4.0,3.0,1.0,1.0,3.0,100,0,0,0,0,11,0,0
1,30,0,72.0,1,58,1,3,50.0,30.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,100,0,0,0,0,50,0,20
1,30,0,50.0,1,62,1,3,80.85938615,66.39471806,2.780870807,2.592433976,3.48608137,2.971448965,2.952890792,2.678800857,2.960028551,100,0,0,0,0,28,0,0
1,30,0,59.6,1,62,1,3,50.0,50.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,40,60,0,0,0,32,0,0
1,30,0,0.0,1,62,1,3,20.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,100,0,0,0,10,100,0
1,30,0,20.0,1,62,1,3,10.0,10.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,100,0,0,0,0,58,0,0
1,30,0,146.0,1,62,1,3,100.0,60.0,5.0,4.0,4.0,4.0,4.0,1.0,1.0,5,95,0,0,0,20,0,0
1,30,0,0.0,1,62,1,3,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,100,0,0,0,0,0,5,30
1,30,0,0.0,1,62,1,3,30.0,30.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,60,40,0,0,0,30,0,0
1,30,0,0.0,1,62,1,3,2.0,2.0,3.0,3.0,3.0,5.0,2.0,3.0,3.0,100,0,0,0,0,22,0,0
1,30,0,0.0,1,63,1,3,80.85938615,66.39471806,2.780870807,2.592433976,3.48608137,2.971448965,2.952890792,2.678800857,2.960028551,100,0,0,0,0,4,0,75
1,30,0,0.0,1,63,1,4,1.0,1.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,100,0,0,0,0,1046,0,9
1,30,0,55.0,1,63,1,3,50.0,25.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,0,100,0,0,0,31,100,25
1,30,0,124.0,1,63,1,3,25.0,11.0,2.0,4.0,3.0,4.0,3.0,2.0,3.0,100,0,0,0,0,-7,100,40
1,30,0,102.0,1,68,1,3,30.0,30.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,100,0,0,0,0,50,0,0
1,30,0,132.0,1,68,1,3,50.0,50.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,100,0,0,0,0,14,0,0
1,30,0,7.18,1,71,1,3,10.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,100,0,0,0,0,-16,0,40
1,30,0,62.0,1,71,1,3,21.0,10.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,100,0,0,0,0,5,0,0
1,30,0,30.0,1,71,1,3,5.0,5.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,100,0,0,0,0,22,0,0
1,30,0,77.0,1,71,1,3,30.0,30.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,100,0,0,0,0,6,0,15
1,30,0,0.0,1,71,2,3,80.85938615,66.39471806,2.780870807,2.592433976,3.48608137,2.971448965,2.952890792,2.678800857,2.960028551,50,50,0,0,0,-2,100,0
1,30,0,97.0,1,72,1,3,30.0,30.0,5.0,1.0,2.0,3.0,4.0,3.0,5.0,100,0,0,0,0,6,0,0
1,30,0,5.0,1,73,1,3,80.85938615,66.39471806,2.780870807,2.592433976,3.48608137,2.971448965,2.952890792,2.678800857,2.960028551,80,20,0,0,0,12,20,45
1,30,0,59.0,1,73,1,3,80.85938615,66.39471806,2.780870807,2.592433976,3.48608137,2.971448965,2.952890792,2.678800857,2.960028551,100,0,0,0,0,14,0,50
1,30,0,138.0,1,73,1,3,30.0,30.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,0,100,0,0,0,30,100,65
1,30,0,0.0,1,73,1,3,25.0,25.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,0,100,0,0,0,28,0,0
1,30,0,0.0,1,73,1,3,600.0,600.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,10,20,20,25,25,0,0,1
1,30,0,74.0,1,73,1,3,50.0,25.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100,0,0,0,0,7,0,20
1,30,0,12.0,1,74,1,3,20.0,20.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,95,5,0,0,0,55,0,25
1,30,0,82.0,1,74,1,3,30.0,20.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,100,0,0,0,0,24,0,0
1,30,0,305.0,1,75,1,3,185.0,185.0,3.0,3.0,4.0,3.0,1.0,2.0,3.0,0,100,0,0,0,11,0,0
1,30,0,112.0,1,75,1,3,80.85938615,66.39471806,2.780870807,2.592433976,3.48608137,2.971448965,2.952890792,2.678800857,2.960028551,100,0,0,0,0,4,0,0
1,30,0,95.0,1,75,1,3,80.85938615,66.39471806,2.780870807,2.592433976,3.48608137,2.971448965,2.952890792,2.678800857,2.960028551,100,0,0,0,0,10,0,300
