상권_코드_명,기준_년_코드,기준_분기_코드,yearquarter,lease_sole,lease_corp,owner,is_risky_0,is_risky_1,total_stores_count,existing_customers_count,Restaurant,Service,Distribution,Japanese,Korean,Western,Bar,PersonalService,ArtSportsandLeisure-relatedServiceIndustry,BakeryDessert,Cafe,ProfessionalDistribution,HealthcareServiceIndustry,EducationServiceIndustry,Fastfood,average(age),average(duration),average(is_franchise),average(business_square_size),average(monthly_rental_fee),average(regular_employees_count),average(rental_deposit),average(sum_customer_cnt),average(sum_new_customer_cnt),average(sum_purchase_card),average(sum_purchase_cash),average(sum_purchase_invoice),average(sum_weekend_sales_delivery),average(sum_weekend_sales_card),average(sum_sales_card),average(sum_sales_delivery),average(sum_sales_invoice),경영_위기_비율,클러스터
용산전자상가(용산역),2022,1,2022-1,28.0,3.0,0.0,24.0,7.0,31.0,3.8826922984,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,45.1677419281,9.3806451609,0.0,41.1111677172,0.8361516128,0.8706451618,1.7620019349,4.5234615351,0.6407692309,4.046625875,0.7918425813,47.3901291975,4e-10,0.6282193569,6.8576575173,-6e-10,27.5320369062,0.2258064516129032,1
용산전자상가(용산역),2022,2,2022-2,27.0,3.0,0.0,18.0,12.0,30.0,4.4065517148,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,45.2500000097,9.5700000032,0.0,41.881540045,0.830690002,0.8330000014,1.7874020043,5.2982758639,0.8917241401,4.7301289724,0.4683703352,43.9173637757,1.9e-09,0.3814633385,7.5568680146,3.1e-09,28.7321756688,0.4,1
용산전자상가(용산역),2022,3,2022-3,32.0,3.0,0.0,27.0,8.0,35.0,4.4641935424,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,45.0828571392,10.0342857133,0.0,39.5893199937,0.88443143,0.9377142871,1.8370302871,5.4412903229,0.9770967741,9.6195292889,1.0549890862,26.2875694375,1.4e-09,0.3425028596,7.3228994089,1e-09,28.5458290019,0.2285714285714285,1
용산전자상가(용산역),2022,4,2022-4,30.0,3.0,0.0,21.0,12.0,33.0,3.963999995,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,45.763636369,10.2545454562,0.0,35.9277636369,0.8865181822,1.0299999993,1.8574563631,4.697666663,0.733666666,5.6604403018,1.0963057274,36.3651582669,4e-10,0.3255530041,7.8922966362,-1e-10,36.5205938453,0.3636363636363636,1
용산전자상가(용산역),2023,1,2023-1,30.0,3.0,0.0,20.0,13.0,33.0,3.6389999908,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,45.763636379,10.2545454574,0.0,35.9277637032,0.8865181839,0.8440625025,1.8574563669,4.2623333368,0.6233333367,4.7279714825,1.2333427282,34.7991381928,3e-10,0.3981136419,6.1858495708,-2e-10,32.013142483,0.3939393939393939,1
은행사거리,2022,1,2022-1,18.0,9.0,0.0,23.0,4.0,27.0,0.3633333262,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,41.1111111165,4.9444444473,0.1111111111,149.9044444615,2.5000000012,0.7040740751,3.6222222243,0.5925925975,0.2292592612,3.7695876279,0.1579601865,3.1641234215,7e-10,4.6391505524,20.4069790597,3.2e-09,1.02e-08,0.1481481481481481,3
은행사거리,2022,2,2022-2,18.0,9.0,0.0,23.0,4.0,27.0,0.4637036901,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,41.1111111107,4.9444444448,0.1111111111,149.9044445014,2.500000002,0.7133333347,3.6222222258,0.6529629663,0.1892592631,4.488082707,0.2384037427,3.2459760377,1.1e-09,5.2546388971,21.7929344655,8e-10,1.76e-08,0.1481481481481481,3
은행사거리,2022,3,2022-3,18.0,9.0,0.0,24.0,3.0,27.0,0.5143999896,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,41.1111111083,4.9444444439,0.1111111111,146.0655555704,2.3333333345,0.7133333333,3.3999999993,0.746399996,0.2319999995,3.8154923037,0.1613987783,3.8131023317,1.2e-09,5.653267775,24.4473925903,-8e-10,-1e-10,0.1111111111111111,3
은행사거리,2022,4,2022-4,18.0,9.0,0.0,20.0,7.0,27.0,0.5829166559,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,41.1111111108,4.9444444452,0.1111111111,146.0655555952,2.3333333349,0.7133333367,3.400000006,0.8341666701,0.2512500009,5.0878204805,0.0681373706,4.3620543428,8e-10,5.673343706,23.3700997451,3e-10,1.18e-08,0.2592592592592592,3
은행사거리,2023,1,2023-1,17.0,9.0,0.0,21.0,5.0,26.0,0.7419047482,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,41.1346153753,4.950000001,0.1153846154,145.5403845875,2.3346153852,1.4453846151,3.3769230763,1.0795238131,0.3376190496,2.5431621484,0.1202973089,6.160351803,1e-10,6.6700655754,28.7909066075,4e-10,9e-10,0.1923076923076923,3
을지로3가역,2022,1,2022-1,63.0,6.0,0.0,61.0,8.0,69.0,3.6740579664,69.0,0.0,0.0,0.0,27.0,0.0,24.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,43.9130434832,4.2347826096,0.1739130435,68.690434791,2.1221086964,1.5688405799,3.0130434794,9.2504347835,5.5763768118,2.7257912158,0.7239798115,14.1525267702,0.0085681157,5.03741687,22.5949981319,0.0761797097,0.0619599279,0.1159420289855072,1
을지로3가역,2022,2,2022-2,60.0,4.0,0.0,54.0,10.0,64.0,3.3776666638,64.0,0.0,0.0,0.0,24.0,0.0,24.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,42.8874999979,4.0281249996,0.15625,60.5543749879,2.1144609373,1.4935937506,2.6390625,8.9903333312,5.6126666646,2.1856532497,0.4850449687,12.1643774359,0.0036875007,6.3057932801,26.8026487011,0.0300671881,-3.3e-09,0.15625,1
을지로3가역,2022,3,2022-3,74.0,2.0,0.0,70.0,6.0,76.0,3.2943835583,76.0,0.0,0.0,0.0,22.0,0.0,34.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,42.0421052641,3.603947369,0.0789473684,58.6630263128,2.1240197371,1.1021333333,2.4539473679,9.0604109585,5.7660273974,3.1816425008,0.638455158,10.4295739555,0.0013289479,6.7384359069,27.2621989308,0.0281593811,0.0605394717,0.0789473684210526,1
을지로3가역,2022,4,2022-4,84.0,6.0,0.0,85.0,5.0,90.0,4.6895402283,90.0,0.0,0.0,0.0,26.0,0.0,40.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,42.4888888926,3.540000001,0.0666666667,60.8973333535,2.1391722227,0.9924444444,2.4277777786,10.5016091955,5.8120689657,3.4285406114,0.7641946446,10.126408373,0.0110922226,7.5497003346,28.9710346341,0.1112333343,0.0620111128,0.0555555555555555,1
