trdar_nm,year,quarter,class_1_name,average(age),average(duration),average(is_franchise),average(business_square_size),average(is_risky),average(monthly_rental_fee),average(regular_employees_count),average(rental_deposit),average(sum_customer_cnt),average(sum_new_customer_cnt),average(sum_purchase_card),average(sum_purchase_cash),average(sum_purchase_invoice),average(sum_sales_card),average(sum_sales_delivery),average(sum_sales_invoice),average(sum_weekend_sales_card),average(sum_weekend_sales_delivery),cluster
신논현역,2022,1,서비스업,43.4199999989,6.2120000004,0.0,371.5499040116,0.2,12.3048400005,12.6827999999,13.6200000098,4.4504054054,2.6605405404,56.1681729072,1.0733741072,162.548855721,292.612117647,-2e-10,12.0535973339,55.2608888129,4e-10,2
신논현역,2022,1,외식업,40.6094017099,4.336752137,0.0683760684,103.4861965787,0.188034188,4.2025213677,2.2812820511,5.1307692197,6.0208547012,3.6609401711,3.6921105465,0.797706325,28.2602111843,25.3714358418,14.4224469568,3.1301800168,6.231026316,4.4919555042,2
신논현역,2022,2,서비스업,43.1723684212,6.0710526319,0.0,369.1697736764,0.3026315789,12.2675394735,12.2340789473,13.9026315986,3.8231578933,2.3094736832,54.9975877119,1.5605958685,141.3652101566,146.7682373534,5e-10,8.75199079,27.8726767363,4e-10,2
신논현역,2022,2,외식업,40.7252100848,4.5680672271,0.0756302521,106.1932352982,0.1596638655,4.2354621851,2.3065546222,5.5151260544,8.886410257,5.9848717956,4.9552732858,0.9900852859,38.9633521173,43.7178481335,14.1404394797,6.9202133875,11.8610069666,4.8085167903,2
신논현역,2022,3,서비스업,42.5653846174,5.5615384621,0.0,367.9754077047,0.3076923077,12.1738846158,11.1125641029,14.1384615378,3.2028205126,1.9993589743,59.1126076808,0.9734728078,98.5340989494,115.1678295374,-9e-10,7.6470038465,21.6271666537,-4e-10,2
신논현역,2022,3,외식업,40.2525862052,4.3258620693,0.0517241379,107.5972844781,0.1206896552,4.2967241383,2.2587068966,5.4767241381,8.790175439,5.7699122809,5.5376031805,1.0682202331,40.8958864757,43.4374124584,13.6879534831,8.3822685865,11.4056264656,4.5690508881,2
신논현역,2022,4,서비스업,42.6092105255,5.6289473682,0.0,302.781734212,0.2894736842,9.8633289475,9.0275000003,12.181578958,3.400263158,2.1021052638,68.3015013816,0.824065895,97.8915339064,123.6955968705,5e-10,20.9590893155,24.9455514483,6e-10,2
신논현역,2022,4,외식업,40.2139130435,4.2330434784,0.052173913,107.6543912976,0.1565217391,4.2707826089,2.3241739133,5.3939130354,9.0432110092,5.941284404,5.1562693992,1.0720698782,43.6143629287,46.6034345292,12.0306382614,10.7523210177,12.8677014263,3.9542452177,2
"신림역 5번(신림동주민센터, 신림동별빛거리)",2022,1,외식업,43.6000000097,6.2714285744,0.2857142857,50.8185714504,0.1904761905,1.8142857156,1.0133333341,3.0714285239,4.3095238116,2.8857142872,4.370890001,0.9125749525,14.1381620452,16.3775885185,4.5555285739,7.0787666702,5.8949142889,1.3598285718,0
"신림역 5번(신림동주민센터, 신림동별빛거리)",2022,2,외식업,43.7399999998,6.2450000019,0.3,52.7259999729,0.15,1.8050000019,1.104500001,3.1249999893,6.6480000064,4.6510000041,3.9096744966,0.6019545013,18.553092748,27.2684205281,3.9426050013,5.850114998,9.9141400053,1.2936399993,0
"신림역 5번(신림동주민센터, 신림동별빛거리)",2022,3,외식업,43.8090909131,6.1545454545,0.2727272727,50.7918181571,0.3181818182,1.8045454545,1.0377272732,3.0227272676,5.852272729,3.8977272746,4.686860403,0.4183382266,16.4147789506,22.9102415492,3.5295409106,2.4321272767,8.1667409104,1.1319909093,0
"신림역 5번(신림동주민센터, 신림동별빛거리)",2022,4,외식업,44.1750000053,5.9500000026,0.25,50.7450000465,0.25,1.7875000038,0.9791666689,2.9374999912,5.6429166699,3.7612500022,3.972552589,0.44772746,17.7997401798,24.0572586091,2.7175625024,3.2267083322,9.146605173,1.0139625016,0
신림역(신림),2022,1,서비스업,36.2346153906,4.7000000025,0.0,38.0942692258,0.1923076923,1.4380769226,0.8411538469,1.95000002,0.687692309,0.293846155,3.0084812242,0.5508695387,5.3482819088,8.8499192285,7e-10,-5e-09,1.7558461552,1.4e-09,2
신림역(신림),2022,1,외식업,45.4941176459,4.770588236,0.0,72.8864705826,0.0980392157,1.9764705877,0.8433333338,2.923529427,3.1896078439,2.3421568628,4.8761143891,0.4249108635,12.6713571398,14.9268931491,4.5353960785,0.0258823516,5.1327886301,1.5422656868,2
신림역(신림),2022,2,서비스업,36.5111111162,4.6666666662,0.0,41.0241111543,0.3333333333,1.3996296323,0.7777777797,1.8407406744,0.8151851895,0.3781481501,2.9193994815,0.6932665195,3.8072645896,10.8169251888,1.5e-09,3.5e-09,1.6483518523,1.6e-09,2
신림역(신림),2022,2,외식업,45.8000000017,4.8836734707,0.0,71.86387756,0.1020408163,1.8897959191,0.8897959192,2.806122462,4.9608163273,3.780408164,4.5539154705,0.4396801224,15.6430272834,24.9133483209,3.6692912244,-9e-10,8.8915993465,1.3946406123,2
신림역(신림),2022,3,서비스업,36.6125000031,4.5125000005,0.0,42.9896249824,0.25,1.3787499994,0.9200000017,1.7999999554,0.9041666653,0.3829166673,3.0753454634,0.5871687505,2.8172166974,10.3456250044,2.9e-09,0.0922916656,1.9682083343,1.7e-09,2
신림역(신림),2022,3,외식업,46.1478260795,4.9586956523,0.0,72.2736956611,0.152173913,1.8369565222,0.9550000005,2.7760869923,4.7693023242,3.6734883715,4.5767817181,0.5249976528,15.648014095,23.1096330453,4.5307956543,0.057391309,8.0634902167,1.6516000008,2
신림역(신림),2022,4,서비스업,36.6124999917,4.5125000004,0.0,42.9896249544,0.2083333333,1.3787499999,0.912916668,1.8000000292,0.8983333333,0.3937499996,3.1508494982,0.5570112925,3.0187555449,8.8836875002,2.2e-09,2e-10,2.5878958345,1.3e-09,2
신림역(신림),2022,4,외식업,46.2466666699,4.9666666673,0.0,72.7820000028,0.2444444444,1.8333333338,0.9615555559,2.7933333473,4.8056097576,3.7175609772,4.2407966905,0.4511797566,15.2496930685,24.0173411101,2.6212022227,0.0293333351,9.0302504441,1.0393400006,2
신사역,2022,1,서비스업,43.6520833383,5.9166666677,0.0,383.9539583391,0.3333333333,10.7186458337,11.7054166671,25.3229166676,2.2148936169,1.3938297874,35.6400233978,0.9581559174,85.1377673566,143.7641519779,7e-10,24.8471122966,22.9412677077,5e-10,2
신사역,2022,1,외식업,44.4300000012,6.0850000005,0.15,124.0679999928,0.1333333333,3.4182499995,1.6736666664,4.9749999996,3.9789999988,2.9848333334,3.5229002481,0.7052326833,13.6340396989,22.8525676766,2.6253150008,1.1972569029,4.9940196658,0.8707116666,2
신사역,2022,1,유통업,47.3157894777,8.4736842131,0.0,82.9224210515,0.0526315789,2.7023684221,0.8947368426,4.1645263159,0.3773684193,0.279473683,11.7089777409,0.5050658955,72.3364808404,8.6725165824,3e-09,78.7073824738,0.3584105252,1.7e-09,2
신사역,2022,2,서비스업,43.2411764727,5.7529411771,0.0,374.7119607872,0.4117647059,10.5106862746,10.9535294118,25.068627452,2.1902083344,1.428541668,35.20049547,0.9249254514,85.5162817051,120.6200278628,5e-10,19.2244988241,17.0050872744,4e-10,2
신사역,2022,2,외식업,44.9322580642,5.9661290324,0.1451612903,122.227096775,0.064516129,3.3531451615,1.6209677426,4.8338709687,7.0945161295,5.331612903,3.8379114176,0.6590345323,17.8154007227,38.3790218064,2.0543806451,1.0359111761,8.5702356452,0.590617742,2
신사역,2022,2,유통업,48.3571428731,9.0142857162,0.0,91.3611429141,0.2857142857,2.7575000026,0.9642857169,4.2560000033,0.4000000064,0.3004761941,13.1016374288,0.5014741444,68.345207431,7.5205372024,1e-09,83.1236553796,0.7481585761,2e-09,2
신사역,2022,3,서비스업,43.2169811349,5.803773586,0.0,342.7058490663,0.3018867925,11.7942452837,10.894528302,24.2924528316,2.1087755115,1.3883673483,37.4283910581,0.506108887,72.7179619045,122.597416757,6e-10,11.3196425084,15.4644618881,4e-10,2
신사역,2022,3,외식업,44.8585714314,5.5942857149,0.1285714286,123.3098714341,0.1,3.2399285721,1.4858571438,4.8114285717,7.0677142873,5.0505714294,4.3332620153,1.0146182145,18.9594329038,37.0820843598,2.3106800009,1.1389119727,7.9925377862,0.6674714296,2
신사역,2022,3,유통업,48.3571428514,9.0142857149,0.0,91.3611428073,0.3333333333,2.757499999,0.9642857133,4.2560000004,0.3628571401,0.2771428564,12.9266580956,0.4327870012,87.0045971771,7.7150337941,-3.1e-09,79.8616117591,0.9048428559,-5e-10,2
신사역,2022,4,서비스업,43.2055555558,5.8277777786,0.0,340.6261111096,0.2962962963,11.5781172599,10.5672222234,23.8055555564,2.1584313733,1.4725490197,33.4799045573,0.5566817594,97.0145649094,119.2153796512,0.0,12.1296872211,17.732132241,1e-10,2
신사역,2022,4,외식업,43.701369859,5.280821917,0.1232876712,121.2943972424,0.0821917808,3.2286986301,1.4713698627,4.7643835612,7.1797260266,5.160821918,4.4558183844,0.7644407397,22.0817059431,42.4021706388,2.3070068505,0.3871085208,9.6227347531,0.7393041101,2
신사역,2022,4,유통업,47.989473683,9.2842105258,0.0,77.2196841646,0.3157894737,2.6023684199,0.885789473,4.0724210531,0.4499999987,0.3688235282,10.8517697848,0.19036737,35.6710718885,4.5205329834,1.6e-09,55.9932126341,0.2605868389,1.1e-09,2
신용산역(용산역),2022,1,외식업,42.3209302386,4.0558139546,0.0,59.7897395478,0.0465116279,2.0337209319,0.6700000005,2.9186046524,7.5773170757,4.5114634161,2.96262649,0.6457807679,9.1964921168,19.5284769792,0.4990325587,1.1e-09,3.8112211643,0.1822767455,3
신용산역(용산역),2022,2,외식업,40.2956521796,3.8478260883,0.0,60.2269304582,0.1956521739,2.2141304355,0.6371739143,3.2282608701,9.2742222242,6.2180000013,2.9771122433,1.7382414137,14.6084032433,32.9437966425,0.9223956529,-9e-10,6.9747721778,0.2299152174,3
신용산역(용산역),2022,3,외식업,41.1607843138,3.8882352944,0.0,59.6233098194,0.137254902,2.1794117654,0.6256862756,3.1372549028,8.5137999997,5.3628000009,4.1674937677,0.8824215306,13.5716895148,30.0253930483,0.7132803919,2.2e-09,6.0944456887,0.1590156865,3
신용산역(용산역),2022,4,외식업,41.9339999946,4.1119999996,0.0,61.293297991,0.18,2.1629999998,0.6512000002,3.0399999995,8.2875510194,5.4879591831,2.9598287594,0.7212375002,14.0356360369,33.106673035,0.7996080018,-8e-10,7.6030592988,0.2056620008,3
신정2동주민센터,2022,1,서비스업,42.9210526422,6.2526315801,0.0,151.6373684845,0.0526315789,2.0173157921,0.026842108,2.6315789524,0.4688888904,0.1511111125,2.8007629009,0.2250437385,1.8180385986,9.6916871359,5.2e-09,5.9e-09,2.0768810576,2.4e-09,3
신정2동주민센터,2022,2,서비스업,42.6125,5.9000000012,0.0,151.961249973,0.2083333333,1.9616250021,0.0212499999,2.4999999979,0.5934782587,0.2126086941,3.1512319185,0.188238417,1.7950970349,7.6767312439,5e-10,1e-10,1.589633333,0.0,3
신정2동주민센터,2022,3,서비스업,42.1913043495,5.869565218,0.0,153.7604348087,0.3043478261,1.9773478281,0.0221739141,2.5217391319,0.5217391306,0.1743478276,2.6816242185,0.1947759566,1.783821182,8.6776126153,3.4e-09,7.7e-09,1.5455434808,1.7e-09,3
신정2동주민센터,2022,4,서비스업,41.2285714252,5.7999999988,0.0,157.8728571888,0.4285714286,2.0132857162,0.0242857157,2.5714285745,0.5485714296,0.1633333344,2.9632390937,0.1522167152,1.9652983316,7.4526533403,1e-09,-4.5e-09,1.1057009539,5e-10,3
"신촌역(신촌역, 신촌로터리)",2022,1,서비스업,43.8000000013,5.6066666676,0.0,182.2834666663,0.2,4.6906666669,3.2768888894,6.6746666679,5.2231111128,2.5506666677,13.047390801,0.6731907791,15.7249652899,25.3977177987,9e-10,-1.4e-09,5.2862891099,4e-10,2
"신촌역(신촌역, 신촌로터리)",2022,1,외식업,39.3761061937,5.0150442479,0.0796460177,86.5333274323,0.1592920354,2.2987465932,0.6254867258,4.0884955754,5.6163392859,3.2376785717,2.7653637795,0.3508965047,7.3544408307,12.2591860703,1.8442176991,0.0371858409,4.0438815047,0.6051849559,2
"신촌역(신촌역, 신촌로터리)",2022,2,서비스업,43.5510638317,5.7595744693,0.0,179.3069361767,0.2765957447,4.5612765968,3.1519148935,6.369361703,6.3900000013,2.9374468098,13.3163231698,0.7949930006,14.1722950015,26.6888905518,-1.1e-09,0.0038297888,5.6887246821,5e-10,2
"신촌역(신촌역, 신촌로터리)",2022,2,외식업,39.7946902647,5.2787610619,0.0796460177,89.6917345062,0.1946902655,2.3367996904,0.5992035398,4.1530973451,7.6797321427,4.6481249999,3.4683728841,0.7209678408,9.1692311764,18.7099090234,1.2864000001,0.122509558,6.3465430971,0.4426539824,2
"신촌역(신촌역, 신촌로터리)",2022,3,서비스업,43.350000005,5.6812500012,0.0,179.2063750115,0.25,4.585000001,3.0793750007,6.2574999997,6.5268750009,2.9420833344,14.5747151041,0.7955010008,15.1145907496,27.1187372957,6e-10,0.0562499989,5.4739027093,2e-10,2
"신촌역(신촌역, 신촌로터리)",2022,3,외식업,40.670689656,5.3431034484,0.0775862069,90.1051379304,0.224137931,2.2548134915,0.5745689656,3.9689655172,7.0579816517,4.5587155968,3.5808088291,0.4400912759,8.7237858434,19.0485182948,0.9791663796,0.1228017234,6.2720348283,0.3356620693,2
"신촌역(신촌역, 신촌로터리)",2022,4,서비스업,42.601923075,5.1961538467,0.0,264.6206922934,0.2692307692,5.821582693,5.5676923082,7.4876923082,6.8946938783,2.7846938782,20.195786115,0.8572603654,25.2414643439,46.5013092458,1e-10,0.0019230794,7.3319199992,1e-10,2
"신촌역(신촌역, 신촌로터리)",2022,4,외식업,40.9776000023,5.3232000002,0.072,89.8286080008,0.224,2.2348669203,0.5091200003,3.9432,6.8349565223,4.3944347829,3.7989713838,0.5734566083,8.9215016004,19.2824888986,0.9736096005,0.2217007993,6.8889829287,0.3582632004,2
안암역 3번,2022,1,외식업,41.6428571446,5.8714285716,0.0,106.3199999904,0.2380952381,1.7985714299,-4e-10,2.1428571429,1.6049999998,1.2060000008,2.6330260966,0.784732573,3.2345725679,7.72013809,0.1067380971,0.0598190518,2.0064619031,0.0406285716,0
