상권_코드_명,기준_년_코드,기준_분기_코드,업종_대분류,경영_위기_비율,상권_코드,집객시설_수,교통_인프라,총 상주인구 수,총_직장_인구_수,총_생활인구_수,월_평균_소득_금액,연령대_1020_매출_비율,연령대_3040_매출_비율,연령대_5060_매출_비율,주중_매출_비율,주말_매출_비율,남성_매출_비율,여성_매출_비율,유사_업종_점포_수,개업률,폐업률
경희대학교(경희대),2022,1,외식업,0.1111111111,2120064,16,3,761,97.0,887240,3055507.0,48.8,31.2,20.0,73.4,26.7,52.1,48.1,270,2.37,1.42
경희대학교(경희대),2022,2,외식업,0.2105263158,2120064,16,3,761,97.0,1073300,3055507.0,48.6,32.6,19.2,73.3,26.7,50.9,49.2,275,7.04,3.29
경희대학교(경희대),2022,3,외식업,0.0952380952,2120064,16,3,761,97.0,1039644,3055507.0,50.3,31.2,18.8,76.4,23.7,51.9,48.2,274,4.19,4.65
경희대학교(경희대),2022,4,외식업,0.0526315789,2120064,16,3,761,97.0,1128089,3055507.0,50.6,30.0,19.8,72.4,28.0,51.8,48.3,274,6.39,5.94
광화문역,2022,1,외식업,0.0833333333,2120003,116,15,3046,44202.0,922310,5510963.0,18.18,52.27,29.55,83.18,17.0,51.82,48.27,649,1.6,1.78
광화문역,2022,2,외식업,0.131147541,2120003,116,15,3046,44202.0,1099641,5510963.0,17.18,52.09,30.55,82.91,17.27,52.09,48.0,653,4.23,3.52
광화문역,2022,3,외식업,0.0819672131,2120003,116,15,3046,44202.0,1116455,5510963.0,17.73,52.91,29.09,81.82,18.45,51.36,48.73,655,4.93,4.58
광화문역,2022,4,외식업,0.1666666667,2120003,116,15,3046,44202.0,1140984,5510963.0,18.73,50.91,30.73,81.0,19.18,51.91,48.18,661,4.55,3.32
교대역(법원.검찰청),2022,1,서비스업,0.2820512821,2120173,175,23,5253,18197.0,3712454,5037551.0,12.28,48.78,38.78,80.17,19.89,53.11,47.06,2718,1.3,1.41
교대역(법원.검찰청),2022,1,외식업,0.1489361702,2120173,175,23,5253,18197.0,3712454,5037551.0,17.45,48.09,34.73,83.73,16.36,62.27,37.73,694,3.68,2.76
교대역(법원.검찰청),2022,2,서비스업,0.2564102564,2120173,175,23,5253,18197.0,3992040,5037551.0,12.3,44.1,43.65,81.15,19.0,54.8,45.3,2729,1.7,0.81
교대역(법원.검찰청),2022,2,외식업,0.2075471698,2120173,175,23,5253,18197.0,3992040,5037551.0,17.18,48.55,34.82,83.18,17.09,61.09,39.0,694,3.47,2.37
교대역(법원.검찰청),2022,3,서비스업,0.2888888889,2120173,175,23,5253,18197.0,3988034,5037551.0,13.65,46.7,39.85,82.85,17.2,51.2,48.85,2735,1.77,1.48
교대역(법원.검찰청),2022,3,외식업,0.2068965517,2120173,175,23,5253,18197.0,3988034,5037551.0,20.45,46.09,33.73,84.27,15.73,58.09,42.18,683,4.07,5.91
교대역(법원.검찰청),2022,4,서비스업,0.3488372093,2120173,175,23,5253,18197.0,4070847,5037551.0,10.95,46.95,42.24,82.76,17.33,57.52,42.52,2734,1.4,1.4
교대역(법원.검찰청),2022,4,외식업,0.25,2120173,175,23,5253,18197.0,4070847,5037551.0,18.82,47.18,34.73,82.73,17.45,59.73,40.55,687,5.29,4.74
구로디지털단지,2022,1,외식업,0.1384615385,2120129,76,19,8,47750.0,939782,3778166.0,23.45,59.64,17.45,89.55,10.55,61.91,38.09,455,5.86,2.93
구로디지털단지,2022,2,외식업,0.2131147541,2120129,76,19,8,47750.0,1020768,3778166.0,22.82,55.73,21.73,89.09,11.09,59.18,40.91,457,6.15,4.85
구로디지털단지,2022,3,외식업,0.2686567164,2120129,76,19,8,47750.0,998409,3778166.0,23.45,56.55,20.09,86.73,13.36,60.64,39.45,455,4.84,6.13
구로디지털단지,2022,4,외식업,0.2253521127,2120129,76,19,8,47750.0,1006716,3778166.0,24.82,53.91,21.73,87.0,13.0,59.36,40.91,469,8.41,4.05
구로디지털단지역,2022,1,외식업,0.1904761905,2120130,50,13,2067,1136.0,1232304,2616631.0,29.0,50.9,20.5,74.7,25.4,59.4,40.6,277,2.83,0.94
구로디지털단지역,2022,2,외식업,0.15,2120130,50,13,2067,1136.0,1340995,2616631.0,29.5,50.8,20.1,74.4,26.0,59.8,40.4,274,2.87,2.87
구로디지털단지역,2022,3,외식업,0.0952380952,2120130,50,13,2067,1136.0,1293580,2616631.0,28.8,51.5,20.0,74.9,25.1,59.3,40.9,274,2.84,2.84
구로디지털단지역,2022,4,외식업,0.0833333333,2120130,50,13,2067,1136.0,1442010,2616631.0,29.4,50.0,20.6,72.2,27.8,59.2,40.9,270,3.37,5.29
구로역,2022,1,유통업,0.1515151515,2120125,70,20,2166,9291.0,534714,3465240.0,4.6,34.53,61.33,96.53,3.6,76.4,23.73,2659,0.27,0.61
구로역,2022,2,유통업,0.3666666667,2120125,70,20,2166,9291.0,561877,3465240.0,4.47,36.06,59.65,95.82,4.24,70.94,29.12,2647,0.34,0.38
구로역,2022,3,유통업,0.2352941176,2120125,70,20,2166,9291.0,546641,3465240.0,5.2,33.53,61.4,96.8,3.27,72.4,27.6,2637,0.38,0.57
구로역,2022,4,유통업,0.3823529412,2120125,70,20,2166,9291.0,514341,3465240.0,3.76,30.94,65.47,89.35,10.71,72.18,27.94,2626,0.42,0.58
구역삼세무서,2022,1,외식업,0.0731707317,2120198,33,7,7376,11531.0,2094724,3332219.0,20.9,51.1,28.2,87.6,12.5,65.1,34.9,311,4.96,2.29
구역삼세무서,2022,1,유통업,0.15,2120198,33,7,7376,11531.0,2094724,3332219.0,11.19,50.69,38.25,69.62,30.44,62.69,37.31,407,1.59,1.06
